ak,NN,O
in,TO,O
the,VB,O
view,VBN,O
taken,RB,O
by,WRB,O
a,EX,O
subordinate,VBZ,O
court1,JJ,O
a,NN,O
finding,CC,O
to,JJ,O
this,NN,O
effect,IN,O
has,DT,O
to,NN,O
be,VBN,O
supported,IN,O
by,DT,O
reasons,NN,O
in,NN,O
the,DT,O
present,NN,O
case,TO,O
the,DT,O
high,NN,O
court,VBZ,O
has,TO,O
allowed,VB,O
the,VBN,O
prayer,IN,O
of,NNS,O
the,IN,O
accused,DT,O
even,JJ,O
while,NN,O
finding,DT,O
no,JJ,O
error,NN,O
in,VBZ,O
the,VBN,O
view,DT,O
taken,NN,O
by,IN,O
the,DT,O
trial,VBN,O
court,RB,O
merely,IN,O
by,VBG,O
saying,DT,O
that,NN,O
exercise,IN,O
of,DT,O
power,NN,O
was,VBN,O
required,IN,O
for,DT,O
granting,NN,O
fair,NN,O
and,RB,O
proper,IN,O
opportunity,VBG,O
to,IN,O
the,NN,O
accused,IN,O
no,NN,O
reasons,VBD,O
have,VBN,O
been,IN,O
recorded,VBG,O
in,JJ,O
support,CC,O
of,JJ,O
this,NN,O
observation,TO,O
on,DT,O
the,VBN,O
contrary,DT,O
the,NNS,O
view,VBP,O
taken,VBN,O
by,VBN,O
the,IN,O
trial,NN,O
court,IN,O
rejecting,DT,O
the,NN,O
stand,IN,O
of,DT,O
the,JJ,O
accused,DT,O
has,NN,O
been,VBN,O
affirmed,IN,O
thus,DT,O
the,NN,O
conclusion,NN,O
appears,VBG,O
to,DT,O
be,NN,O
inconsistent,IN,O
with,DT,O
the,VBN,O
reasons,VBZ,O
in,VBN,O
the,VBN,O
impugned,RB,O
order,DT,O
29,NN,O
we,VBZ,O
may,TO,O
now,VB,O
sum,JJ,O
up,IN,O
our,DT,O
reasons,NNS,O
for,IN,O
disapproving,DT,O
the,JJ,O
view,NN,O
of,CD,O
the,PRP,O
high,MD,O
court,RB,O
in,VB,O
the,RP,O
present,PRP$,O
case,NNS,O
i,IN,O
the,VBG,O
trial,DT,O
court,NN,O
and,IN,O
the,DT,O
high,JJ,O
court,NN,O
held,IN,O
that,DT,O
the,JJ,O
accused,NN,O
had,VBZ,O
appointed,DT,O
counsel,NN,O
of,NN,O
his,CC,O
choice,DT,O
he,JJ,O
was,NN,O
facing,VBD,O
trial,IN,O
in,DT,O
other,VBN,O
cases,VBD,O
also,VBN,O
the,NN,O
earlier,IN,O
counsel,PRP$,O
were,NN,O
given,PRP,O
due,VBD,O
opportunity,VBG,O
and,NN,O
had,IN,O
duly,JJ,O
conducted,NNS,O
cross,RB,O
examination,DT,O
they,JJR,O
were,NN,O
under,VBD,O
no,VBN,O
handicap,JJ,O
ii,NN,O
no,CC,O
finding,VBD,O
could,VBN,O
be,VBN,O
recorded,NN,O
that,NN,O
the,PRP,O
counsel,VBD,O
appointed,IN,O
by,DT,O
the,NN,O
accused,VBZ,O
were,DT,O
incompetent,NN,O
particularly,MD,O
at,VB,O
back,VBN,O
of,IN,O
such,DT,O
counsel,NN,O
iii,VBN,O
expeditious,IN,O
trial,DT,O
in,VBN,O
a,VBD,O
heinous,JJ,O
offence,RB,O
as,IN,O
is,RB,O
alleged,IN,O
in,JJ,O
the,NN,O
present,VBP,O
case,JJ,O
is,NN,O
in,IN,O
the,DT,O
interests,JJ,O
of,NN,O
justice,IN,O
iv,VBZ,O
the,VBN,O
trial,IN,O
court,DT,O
as,JJ,O
well,NN,O
as,VBZ,O
the,IN,O
high,DT,O
court,NNS,O
rejected,IN,O
the,NN,O
reasons,VBP,O
for,DT,O
recall,NN,O
of,NN,O
the,RB,O
witnesses,RB,O
v,IN,O
the,DT,O
court,JJ,O
has,NN,O
to,VBD,O
keep,DT,O
in,NNS,O
mind,IN,O
not,NN,O
only,IN,O
the,DT,O
need,NNS,O
for,VBP,O
giving,DT,O
fair,NN,O
opportunity,VBZ,O
to,TO,O
the,VB,O
accused,IN,O
but,NN,O
also,RB,O
the,RB,O
need,DT,O
for,NN,O
ensuring,IN,O
that,VBG,O
the,JJ,O
victim,NN,O
of,TO,O
the,DT,O
crime,VBN,O
is,CC,O
not,RB,O
unduly,DT,O
harassed,NN,O
vi,IN,O
mere,VBG,O
fact,IN,O
that,DT,O
the,NN,O
accused,IN,O
was,DT,O
in,NN,O
custody,VBZ,O
and,RB,O
that,RB,O
he,JJ,O
will,NN,O
suffer,JJ,O
by,NN,O
the,IN,O
delay,DT,O
could,VBN,O
be,VBD,O
no,IN,O
consideration,NN,O
for,CC,O
allowing,IN,O
recall,PRP,O
of,MD,O
witnesses,VB,O
particularly,IN,O
at,DT,O
the,NN,O
fag,MD,O
end,VB,O
of,DT,O
the,NN,O
trial,IN,O
vii,VBG,O
mere,NN,O
change,IN,O
of,NNS,O
counsel,RB,O
cannot,IN,O
be,DT,O
ground,JJ,O
to,NN,O
recall,IN,O
the,DT,O
witnesses,NN,O
viii,NN,O
there,JJ,O
is,NN,O
no,IN,O
basis,NN,O
for,MD,O
holding,RB,O
that,VB,O
any,NN,O
prejudice,TO,O
will,VB,O
be,DT,O
caused,NNS,O
to,VBP,O
the,EX,O
accused,VBZ,O
unless,DT,O
the,NN,O
witnesses,IN,O
are,VBG,O
recalled,IN,O
ix,DT,O
the,NN,O
high,MD,O
court,VB,O
has,VBN,O
not,TO,O
rejected,DT,O
the,VBN,O
reasons,IN,O
given,DT,O
by,NNS,O
the,VBP,O
trial,VBN,O
court,IN,O
nor,DT,O
given,JJ,O
any,NN,O
justification,VBZ,O
for,RB,O
permitting,VBN,O
recall,DT,O
of,NNS,O
the,VBN,O
witnesses,IN,O
except,DT,O
for,NN,O
making,NN,O
general,CC,O
observations,VBN,O
that,DT,O
recall,NN,O
was,IN,O
necessary,VBG,O
for,NN,O
ensuring,IN,O
fair,DT,O
trial,NNS,O
this,IN,O
observation,IN,O
is,VBG,O
contrary,JJ,O
to,NNS,O
the,IN,O
reasoning,NN,O
of,VBD,O
the,JJ,O
high,IN,O
court,VBG,O
in,JJ,O
dealing,NN,O
with,DT,O
the,NN,O
grounds,VBZ,O
for,JJ,O
recall,TO,O
ie,DT,O
denial,NN,O
of,IN,O
fair,DT,O
opportunity,JJ,O
on,NN,O
account,IN,O
of,VBG,O
incompetence,IN,O
of,DT,O
earlier,NNS,O
counsel,IN,O
or,NN,O
on,JJ,O
account,NN,O
of,IN,O
expeditious,JJ,O
proceedings,NN,O
x,IN,O
there,NN,O
is,IN,O
neither,NN,O
any,IN,O
patent,JJR,O
error,NN,O
in,CC,O
the,IN,O
approach,NN,O
adopted,IN,O
by,JJ,O
the,NNS,O
trial,IN,O
court,EX,O
rejecting,VBZ,O
the,CC,O
prayer,DT,O
for,NN,O
recall,NN,O
nor,IN,O
any,DT,O
clear,NN,O
injustice,VBN,O
if,IN,O
such,DT,O
prayer,NN,O
is,NN,O
not,VBG,O
granted,DT,O
30,NN,O
accordingly,IN,O
we,JJ,O
allow,CC,O
these,DT,O
appeals,JJ,O
set,NN,O
aside,IN,O
the,JJ,O
impugned,NN,O
order,VBZ,O
passed,RB,O
by,VBN,O
the,CD,O
high,RB,O
court,PRP,O
and,VBP,O
dismiss,DT,O
the,NNS,O
application,VBD,O
for,RP,O
recall,DT,O
1jasbir,JJ,O
singh,NN,O
v,VBN,O
state,IN,O
of,DT,O
punjab,JJ,O
manu,NN,O
sc,CC,O
4529,VB,O
2006manu,DT,O
sc,NN,O
4529,IN,O
2006,NN,O
2006,CD,O
8,NN,O
scc,NN,O
294,NN,O
prs,IN,O
10,NN,O
to,NN,O
14,NN,O
