rc,NN,O
constitution,JJ,O
read,NNS,O
with,IN,O
section,NNS,O
3,CD,O
of,CC,O
the,CD,O
central,IN,O
sales,DT,O
tax,NN,O
act,NN,O
1956,IN,O
consequences,NN,O
on,CD,O
free,IN,O
flow,DT,O
of,JJ,O
trade,NNS,O
33,NN,O
yet,NN,O
another,CD,O
reason,NNS,O
why,IN,O
we,JJ,O
cannot,NN,O
accept,IN,O
the,NN,O
line,CD,O
of,RB,O
reasoning,DT,O
advanced,NN,O
on,WRB,O
behalf,PRP,O
of,MD,O
the,RB,O
state,VB,O
of,DT,O
andhra,NN,O
pradesh,IN,O
and,VBG,O
madhya,VBN,O
pradesh,IN,O
is,NN,O
that,IN,O
the,DT,O
same,NN,O
runs,IN,O
counter,NN,O
to,NN,O
the,CC,O
scheme,NN,O
of,NN,O
constitutional,VBZ,O
provisions,IN,O
and,DT,O
specially,JJ,O
the,VBZ,O
sixth,NN,O
amendment,TO,O
as,DT,O
has,NN,O
been,IN,O
found,JJ,O
by,NNS,O
the,CC,O
division,RB,O
bench,DT,O
of,JJ,O
andhra,NN,O
pradesh,IN,O
high,VBZ,O
court,VBN,O
in,VBN,O
its,IN,O
impugned,DT,O
judgment,NN,O
if,NN,O
the,IN,O
reasoning,NN,O
suggested,JJ,O
on,JJ,O
behalf,NN,O
of,IN,O
the,PRP$,O
state,JJ,O
of,NN,O
ap,IN,O
was,DT,O
accepted,NN,O
the,VBD,O
state,IN,O
where,NN,O
the,IN,O
dealer,DT,B-LEGAL
supplying,NN,O
the,IN,O
electricity,NN,O
is,VBD,O
located,VBN,O
and,DT,O
the,NN,O
electricity,WRB,O
originates,DT,O
for,NN,O
sale,VBG,O
as,DT,O
also,NN,O
the,VBZ,O
states,VBN,O
in,CC,O
which,DT,O
the,NN,O
purchaser,VBZ,O
of,IN,O
electricity,NN,O
is,IN,O
located,RB,O
and,DT,O
it,NNS,O
is,IN,O
delivered,WDT,O
shall,DT,O
both,NN,O
subject,IN,O
the,NN,O
electrical,VBZ,O
energy,VBN,O
to,CC,O
taxation,PRP,O
by,VBZ,O
relying,VBN,O
on,MD,O
the,DT,O
theory,VB,O
of,DT,O
territorial,JJ,O
nexus,NN,O
such,TO,O
a,NN,O
situation,IN,O
would,VBG,O
be,IN,O
the,DT,O
one,NN,O
which,IN,O
was,JJ,O
obtaining,NNS,O
in,JJ,O
the,DT,O
country,NN,O
with,MD,O
respect,VB,O
to,DT,O
sales,CD,O
tax,WDT,O
prior,VBD,O
to,VBG,O
coming,IN,O
into,DT,O
force,NN,O
of,IN,O
the,NN,O
constitution,TO,O
and,NNS,O
which,NN,O
led,RB,O
to,TO,O
complications,VBG,O
and,IN,O
difficulties,NN,O
in,IN,O
administration,DT,O
of,NN,O
sales,CC,O
tax,WDT,O
legislation,VBD,O
and,TO,O
therefore,NNS,O
was,CC,O
taken,NNS,O
care,IN,O
of,NN,O
by,IN,O
the,NNS,O
sixth,NN,O
amendment,NN,O
such,CC,O
multiple,NN,O
taxation,VBD,O
would,VBN,O
result,NN,O
in,IN,O
hampering,IN,O
free,DT,O
movement,JJ,O
of,NN,O
electricity,JJ,O
between,JJ,O
the,NN,O
states,MD,O
and,VB,O
therefore,IN,O
would,VBG,O
be,JJ,O
prejudicial,NN,O
to,IN,O
freedom,NN,B-LEGAL
of,IN,I-LEGAL
trade,DT,I-LEGAL
commerce,NNS,O
and,CC,O
intercourse,RB,O
throughout,MD,O
the,VB,O
territory,JJ,O
of,TO,O
india,NN,O
and,IN,O
for,NN,O
the,NN,O
unity,CC,O
and,NN,O
integrity,IN,O
of,DT,O
the,NN,O
country,IN,O
that,NN,O
would,CC,O
give,IN,O
rise,DT,O
to,NN,O
the,CC,O
same,NN,O
situation,IN,O
which,DT,O
was,NN,O
sought,WDT,O
to,MD,O
be,VB,O
remedied,NN,O
by,TO,O
the,DT,O
constitution,JJ,O
and,NN,O
the,WDT,O
sixth,VBD,O
amendment,VBN,O
34,TO,O
on,VB,O
behalf,VBN,O
of,IN,O
the,DT,O
states,NN,O
of,CC,O
ap,DT,O
and,JJ,O
mp,NN,O
it,CD,O
was,IN,O
submitted,NN,O
that,IN,O
subject,DT,O
of,NNS,O
electricity,IN,O
has,NN,O
been,CC,O
specifically,VB,O
dealt,PRP,O
with,VBD,O
by,VBN,O
articles,IN,O
287,NN,O
and,IN,O
288,NN,O
of,VBZ,O
the,VBN,O
constitution,RB,O
and,JJ,O
by,IN,O
implication,IN,O
the,NNS,O
articles,CD,O
other,CC,O
than,CD,O
287,IN,O
and,DT,O
288,NN,O
should,CC,O
be,IN,O
read,NN,O
as,DT,O
not,NNS,O
dealing,JJ,O
with,IN,O
electricity,CD,O
this,CC,O
submission,CD,O
is,MD,O
stated,VB,O
only,VBN,O
to,IN,O
be,RB,O
rejected,VBG,O
these,IN,O
articles,NN,O
make,DT,O
some,NN,O
provisions,VBZ,O
for,VBN,O
electricity,RB,O
and,TO,O
water,VB,O
or,VBN,O
electricity,DT,O
in,NNS,O
the,VBP,O
special,DT,O
context,NNS,O
dealt,IN,O
with,NN,O
by,CC,O
those,NN,O
articles,CC,O
and,NN,O
do,IN,O
not,DT,O
exclude,JJ,O
applicability,NN,O
of,NN,O
other,IN,O
articles,IN,O
where,DT,O
electricity,NNS,O
has,CC,O
been,VBP,O
dealt,RB,O
with,VB,O
as,NN,O
goods,IN,O
35,JJ,O
for,NNS,O
the,WRB,O
foregoing,NN,O
reasons,VBZ,O
we,VBN,O
are,RB,O
of,IN,O
the,IN,O
opinion,NNS,O
that,CD,O
no,IN,O
fault,DT,O
can,JJ,O
be,NNS,O
found,PRP,O
with,VBP,O
the,IN,O
judgment,DT,O
of,NN,O
the,IN,O
andhra,DT,O
pradesh,NN,O
high,MD,O
court,VB,O
which,VBN,O
is,IN,O
affirmed,DT,O
and,NN,O
civil,IN,O
appeal,DT,O
no,NN,O
3112,JJ,O
of,JJ,O
1990,NN,O
is,WDT,O
dismissed,VBZ,O
with,VBN,O
costs,CC,O
civil,JJ,O
writ,NN,O
petition,DT,O
tc,CD,O
no,IN,O
3,CD,O
of,VBZ,O
1998,VBN,O
is,IN,O
allowed,NNS,O
with,JJ,O
costs,JJ,O
and,NN,O
the,VBZ,O
demand,DT,O
raised,CD,O
by,IN,O
the,CD,O
chief,VBZ,O
electrical,VBN,O
electricity,IN,O
duty,NNS,O
and,CC,O
chief,DT,O
electrical,NN,O
inspector,VBN,O
government,IN,O
of,DT,O
mp,JJ,O
vide,JJ,O
its,NN,O
letter,NN,O
dated,CC,O
30111995,JJ,O
is,JJ,O
directed,NN,O
to,NN,O
be,IN,O
quashed,NN,O
