rp,NN,O
act,TO,I-LEGAL
this,DT,O
court,NN,O
has,IN,O
devised,DT,O
two,JJ,O
distinct,NN,O
groups,IN,O
one,DT,O
such,NNS,O
group,IN,O
deals,JJ,O
with,NN,O
the,DT,O
municipal,NN,O
laws,VBZ,O
of,VBN,O
some,CD,O
states,JJ,O
which,NNS,O
do,CD,O
not,JJ,O
expressly,NN,O
exclude,NNS,O
application,IN,O
of,DT,O
rent,JJ,O
restrictions,NNS,O
acts,IN,O
in,DT,O
the,NNS,O
matter,WDT,O
of,VBP,O
determination,RB,O
of,RB,O
annual,JJ,B-LEGAL
value,NN,I-LEGAL
of,IN,O
a,NN,O
building,NNS,O
for,VBZ,O
the,IN,O
purposes,DT,O
of,NN,O
levying,IN,O
municipal,NN,O
taxes,IN,O
and,JJ,O
the,NN,O
other,IN,O
group,DT,O
deals,NN,O
with,IN,O
the,DT,O
municipal,NNS,O
laws,IN,O
which,VBG,O
expressly,JJ,O
exclude,NNS,O
application,CC,O
of,DT,O
the,JJ,O
rent,NN,O
restriction,NNS,O
act,IN,O
in,DT,O
the,JJ,O
matter,NNS,O
of,WDT,O
determination,RB,O
of,VBP,O
annul,NN,O
value,IN,B-LEGAL
of,DT,I-LEGAL
land,NN,I-LEGAL
or,NN,O
building,NN,O
on,IN,O
rental,DT,O
method,NN,O
whereas,IN,O
in,NN,O
the,IN,O
first,JJ,O
category,NN,O
of,IN,O
cases,NN,O
the,CC,O
determination,NN,O
of,IN,O
annual,JJ,B-LEGAL
value,NN,I-LEGAL
has,NNS,O
to,IN,O
be,DT,O
made,JJ,O
on,NN,O
the,IN,O
basis,NNS,O
of,DT,O
fair,NN,O
or,IN,O
standard,JJ,B-LEGAL
rent,NN,I-LEGAL
notwithstanding,VBZ,O
the,TO,O
actual,VB,O
rent,VBN,O
even,IN,O
if,DT,O
it,NN,O
exceeds,IN,O
the,NN,O
statutory,CC,O
limits,JJ,O
in,NN,O
the,VBG,O
other,DT,O
group,JJ,O
where,NN,O
the,RB,O
restriction,IN,O
in,PRP,O
the,VBZ,O
rent,DT,O
act,JJ,O
has,NNS,O
been,IN,O
excluded,DT,O
the,JJ,O
determination,NN,O
of,WRB,O
annual,DT,B-LEGAL
value,NN,I-LEGAL
of,IN,O
building,DT,O
on,NN,O
rental,NN,O
method,VBZ,O
is,VBN,O
referable,VBN,O
to,DT,O
the,NN,O
method,IN,O
provided,JJ,O
under,NN,O
the,IN,O
relevant,VBG,O
municipal,IN,B-LEGAL
act,JJ,I-LEGAL
whereas,NN,O
the,VBZ,O
padma,JJ,O
debi,TO,O
s,DT,O
case,NN,O
lic,VBD,O
s,IN,O
case,DT,O
guntur,JJ,O
town,JJ,O
rate,NN,O
payee,IN,O
s,DT,O
case,NN,O
dewan,NN,O
daulat,NN,O
rai,NN,O
s,JJ,O
case,NN,O
supra,NN,O
deal,JJ,O
with,NN,O
the,NN,O
first,NN,O
group,NN,O
of,NN,O
municipal,VBZ,O
laws,JJ,O
the,NN,O
cases,NN,O
in,NN,O
ratanprabha,JJ,O
s,NN,O
case,IN,O
agm,DT,O
central,JJ,O
bank,NN,O
of,IN,O
india,JJ,O
s,NNS,O
case,DT,O
east,NNS,O
india,IN,O
commercial,NN,O
company,NN,O
s,NN,O
case,JJ,O
balbir,JJ,O
singh,NN,O
s,IN,O
case,JJ,O
india,JJ,O
oil,NN,O
corporation,JJ,O
s,JJ,O
case,JJ,O
and,NN,O
srikant,JJ,O
s,NN,O
case,NN,O
supra,NN,O
deal,JJ,O
with,NN,O
the,JJ,O
second,NN,O
group,NN,O
as,NN,O
already,NN,O
noticed,CC,O
this,NN,O
court,NN,O
in,NN,O
lic,JJ,O
s,NN,O
case,IN,O
dealt,DT,O
with,JJ,O
the,NN,O
first,IN,O
category,RB,O
as,VBN,O
in,DT,O
section,NN,O
168,IN,O
of,JJ,O
the,NN,O
calcutta,NN,O
municipal,NN,B-LEGAL
corporation,IN,I-LEGAL
act,DT,O
there,JJ,O
existed,NN,O
no,IN,O
non,IN,O
obstante,NN,O
clause,CD,O
the,IN,O
observations,DT,O
of,NN,O
the,JJ,O
bench,NN,O
of,NN,O
this,RB,O
court,VBD,O
which,DT,O
dealt,JJ,O
with,NN,O
the,NN,O
case,DT,O
on,NNS,O
10th,IN,O
october,DT,O
2001,NN,O
cannot,IN,O
be,DT,O
taken,NN,O
in,WDT,O
isolation,VBZ,O
27,IN,O
justice,DT,O
shah,NN,O
j,IN,O
in,CD,O
lic,IN,O
s,CD,O
case,MD,O
referring,RB,O
to,VB,O
the,VBN,O
proviso,IN,O
to,NN,O
section,CD,O
1681,NN,O
of,NN,O
the,NN,O
calcutta,IN,O
municipal,JJ,B-LEGAL
corporation,NN,I-LEGAL
act,NN,O
which,VBG,O
dealt,TO,O
with,DT,O
the,NN,O
land,TO,O
and,NN,O
building,CD,O
the,IN,O
standard,DT,B-LEGAL
rent,NN,I-LEGAL
of,JJ,O
which,NN,O
had,NN,O
been,WDT,O
fixed,VBZ,O
under,IN,O
section,DT,O
9,NN,O
of,CC,O
the,VBG,O
west,DT,O
bengal,JJ,O
premises,NN,O
rent,IN,O
control,WDT,O
temporary,VBD,O
provisions,VBN,O
act,VBN,O
1950,IN,O
observe,NN,O
by,CD,O
the,IN,O
addition,DT,O
of,JJS,O
the,JJ,O
proviso,NNS,O
in,VB,O
our,NN,O
judgment,JJ,O
the,NNS,O
meaning,NN,O
of,CD,O
the,NN,O
expression,IN,O
gross,DT,O
rent,NN,O
at,IN,O
which,DT,O
the,NN,O
land,IN,O
or,PRP$,O
building,NN,O
might,DT,O
reasonably,NN,O
be,IN,O
expected,DT,O
to,NN,O
let,JJ,O
is,NN,O
not,IN,O
altered,WDT,O
in,DT,O
the,NN,O
present,CC,O
case,NN,O
there,MD,O
is,RB,O
no,VB,O
order,VBN,O
of,TO,O
the,VB,O
controller,VBZ,O
fixing,RB,O
standard,VBN,B-LEGAL
rent,IN,I-LEGAL
under,DT,O
section,JJ,O
9,NN,O
of,EX,O
the,VBZ,O
west,DT,O
bengal,NN,O
premises,IN,O
rent,DT,O
control,NN,O
temporary,VBG,O
provisions,JJ,O
act,NN,O
1950,IN,O
but,NN,O
the,CD,O
standard,IN,B-LEGAL
rent,DT,I-LEGAL
stands,JJS,O
determined,JJ,O
by,NNS,O
the,VB,O
definition,NN,O
of,JJ,O
that,NNS,O
expression,NN,O
in,CD,O
section,CC,O
21b,DT,O
of,JJ,O
that,NN,O
act,NNS,O
which,VBN,O
provides,IN,O
omitting,DT,O
paras,NN,O
not,IN,O
relevant,DT,O
standard,NN,B-LEGAL
rent,IN,I-LEGAL
in,NN,O
relation,CD,O
to,IN,O
any,DT,O
premises,NN,O
means,WDT,O
a,VBZ,O
xxx,VBG,O
b,NNS,O
where,RB,O
the,JJ,O
rent,JJ,O
has,NN,O
been,IN,O
fixed,NN,O
under,TO,O
section,DT,O
9,NNS,O
the,VBZ,O
rent,DT,O
so,NN,O
fixed,NN,O
or,WRB,O
at,DT,O
which,NN,O
it,VBZ,O
would,VBN,O
have,VBN,O
been,IN,O
fixed,NN,O
if,CD,O
application,DT,O
were,NN,O
made,RB,O
under,JJ,O
the,CC,O
said,IN,O
section,WDT,O
28,PRP,O
as,MD,O
already,VB,O
noticed,VBN,O
even,VBN,O
without,IN,O
specific,NN,O
determination,VBD,O
the,VBN,O
standard,IN,B-LEGAL
rent,DT,I-LEGAL
was,VBD,O
held,NN,O
to,CD,O
have,IN,O
been,RB,O
statutorily,VBN,O
determined,RB,O
under,IN,O
section,JJ,O
210b,NN,O
of,DT,O
the,JJ,O
rent,NN,O
act,VBD,O
upon,VBN,O
analysis,TO,O
of,VB,O
the,VBN,O
various,RB,O
municipal,VBN,O
laws,IN,O
and,NN,O
the,CD,O
judgments,IN,O
of,DT,O
this,NN,O
court,NN,O
it,IN,O
is,NN,O
held,IN,O
that,DT,O
in,JJ,O
cases,JJ,O
where,NNS,O
the,CC,O
municipal,DT,O
laws,NNS,O
excludes,IN,O
the,DT,O
applicability,NN,O
of,PRP,O
the,VBZ,O
rent,VBN,O
acts,IN,O
by,IN,O
incorporating,NNS,O
on,WRB,O
obstante,DT,O
clause,JJ,O
in,NNS,O
the,VBZ,O
taxing,DT,B-LEGAL
statute,NN,I-LEGAL
the,IN,O
powers,DT,O
of,NN,O
the,NNS,O
authorities,IN,O
under,VBG,O
the,IN,O
municipal,NN,O
acts,NN,O
are,IN,O
not,DT,O
circumscribed,VBG,O
by,NN,O
the,DT,O
limits,NNS,O
indicated,IN,O
in,DT,O
padma,NNS,O
debi,IN,O
s,DT,O
case,JJ,O
and,NNS,O
followed,VBP,O
in,RB,O
that,VBN,O
group,IN,O
of,DT,O
cases,NNS,O
in,VBN,O
cases,IN,O
were,NN,O
the,NN,O
fair,NN,O
rent,NN,O
payable,CC,O
by,VBD,O
the,IN,O
tenant,DT,O
has,NN,O
been,IN,O
determined,NNS,O
and,IN,O
there,NNS,O
is,VBD,O
no,DT,O
justification,JJ,O
for,NN,O
refusing,JJ,O
to,IN,O
accept,DT,O
that,NN,O
fair,VBZ,O
rent,VBN,O
as,VBN,O
rental,CC,O
value,EX,O
of,VBZ,O
the,DT,O
premises,NN,O
the,IN,O
municipal,VBG,B-LEGAL
authorities,TO,I-LEGAL
should,VB,O
generally,IN,O
accept,JJ,O
the,NN,O
standard,IN,B-LEGAL
rent,JJ,I-LEGAL
fixed,NN,O
notwithstanding,IN,O
the,DT,O
non,NNS,O
applicability,DT,O
of,JJ,O
the,NNS,O
rent,MD,O
acts,RB,O
because,VB,O
such,DT,O
a,JJ,O
view,NN,O
would,VBN,O
be,VBG,O
reasonable,DT,O
guideline,JJ,O
to,NN,O
determine,IN,O
the,DT,O
rate,NN,O
of,VBZ,O
rent,IN,O
at,PDT,O
which,DT,O
such,NN,O
land,MD,O
or,VB,O
building,JJ,O
might,NN,O
at,TO,O
the,VB,O
time,DT,O
of,NN,O
assessment,IN,B-LEGAL
be,NN,O
reasonably,IN,O
expected,WDT,O
to,JJ,O
let,NN,O
from,CC,O
year,NN,O
to,MD,O
year,IN,O
the,DT,O
rent,NN,O
which,IN,O
the,NN,O
tenant,VB,O
is,RB,O
receiving,VBN,O
from,TO,O
his,VB,O
sub,IN,O
tenant,NN,O
is,TO,O
also,NN,O
an,DT,O
important,NN,O
statutory,WDT,O
consideration,DT,O
for,NN,O
determining,VBZ,O
the,VBG,O
rent,IN,O
at,PRP$,O
the,NN,O
time,NN,O
of,VBZ,O
assessment,RB,B-LEGAL
to,DT,O
which,JJ,O
the,JJ,O
property,NN,O
might,IN,O
reasonably,VBG,O
be,DT,O
expected,NN,O
to,IN,O
be,DT,O
let,NN,O
from,IN,O
year,NN,O
to,TO,O
year,WDT,O
such,DT,O
a,NN,O
consideration,MD,O
is,RB,O
also,VB,O
justified,VBN,O
on,TO,O
the,VB,O
principles,VBN,O
of,IN,O
reasonableness,NN,O
we,TO,O
cannot,NN,O
agree,PDT,O
that,DT,O
in,NN,O
all,VBZ,O
cases,RB,O
notwithstanding,VBN,O
the,IN,O
non,DT,O
obstante,NNS,O
clause,IN,O
the,NN,O
annual,PRP,O
rental,MD,O
value,RB,O
cannot,VB,O
be,IN,O
fixed,IN,O
beyond,DT,O
the,NNS,O
standard,VBG,B-LEGAL
rent,DT,I-LEGAL
determined,NN,O
or,NN,O
determinable,VBP,O
under,DT,O
the,JJ,O
rent,JJ,O
statute,NN,O
we,MD,O
also,RB,O
find,VB,O
it,VBN,O
difficult,IN,O
to,DT,O
hold,JJ,O
that,NN,O
in,VBD,O
all,CC,O
cases,JJ,O
the,IN,O
rent,DT,O
actually,NN,O
paid,NN,O
by,PRP,O
the,RB,O
sub,VBP,O
tenant,PRP,O
to,JJ,O
the,TO,O
tenant,VB,O
be,IN,O
taken,IN,O
as,DT,O
a,NNS,O
sole,DT,O
criterion,NN,O
for,RB,O
determining,VBN,O
the,IN,O
annual,DT,B-LEGAL
value,NN,I-LEGAL
on,NN,O
the,TO,O
assumption,DT,O
that,NN,O
such,VB,O
land,VBN,O
or,IN,O
building,DT,O
might,JJ,O
at,NN,O
the,IN,O
time,VBG,O
of,DT,O
assessment,JJ,B-LEGAL
is,NN,O
reasonably,IN,O
expected,DT,O
to,NN,O
get,IN,O
the,JJ,O
aforesaid,NN,O
amount,CC,O
of,NN,O
rent,MD,O
if,IN,O
let,DT,O
from,NN,O
year,IN,O
to,NN,O
year,VBZ,O
the,RB,O
argument,VBN,O
that,TO,O
the,VB,O
rent,DT,O
actually,NN,O
received,NN,O
by,IN,O
the,NN,O
owner,IN,O
should,NN,O
always,IN,O
be,NN,O
deemed,TO,O
to,NN,O
be,DT,O
reasonable,NN,O
rent,IN,O
in,DT,O
the,NN,O
absence,RB,O
of,VBN,O
fraud,IN,O
collusion,DT,O
and,NN,O
other,MD,O
extraneous,RB,O
considerations,VB,O
is,VBN,O
to,TO,O
general,VB,O
and,JJ,O
broad,NN,O
proposition,IN,O
of,DT,O
law,NN,O
which,IN,O
cannot,NN,O
be,NN,O
accepted,CC,O
for,JJ,O
the,JJ,O
purposes,NNS,O
of,VBZ,O
determining,TO,O
the,JJ,O
annual,CC,B-LEGAL
value,JJ,I-LEGAL
of,NN,O
the,IN,O
property,NN,O
for,WDT,O
the,MD,O
purposes,RB,O
of,VB,O
section,VBN,O
174,IN,O
of,DT,O
the,NNS,O
1980,IN,O
act,VBG,O
in,DT,O
the,JJ,O
light,NN,O
of,IN,O
clear,DT,O
and,NN,O
unambiguous,IN,O
provisions,DT,O
of,NNS,O
section,IN,O
174,NN,O
of,CD,O
the,IN,O
1980,DT,O
act,CD,O
it,NN,O
cannot,IN,O
be,DT,O
held,NN,O
that,IN,O
the,JJ,O
amount,CC,O
realised,JJ,O
by,NNS,O
a,IN,O
tenant,NN,O
from,CD,O
a,IN,O
sub,DT,O
tenant,CD,O
cannot,NN,O
at,PRP,O
all,MD,O
be,RB,O
taken,VB,O
into,VBN,O
consideration,IN,O
for,DT,O
the,NN,O
purposes,VBN,O
of,IN,O
determining,DT,O
the,NN,O
gross,IN,B-LEGAL
annual,DT,I-LEGAL
rent,NN,I-LEGAL
in,NN,O
the,MD,O
absence,RB,O
of,IN,O
extraneous,DT,O
considerations,VB,O
there,VBN,O
is,IN,O
no,NN,O
substance,IN,O
in,DT,O
the,NNS,O
submission,IN,O
of,VBG,O
the,DT,O
learned,JJ,O
counsel,JJ,O
appearing,NN,O
for,IN,O
the,DT,O
appellant,NN,O
that,IN,O
allowing,JJ,O
the,NNS,O
municipal,EX,O
corporations,VBZ,O
to,DT,O
assess,NN,O
the,IN,O
annual,DT,O
rate,NN,O
able,IN,O
value,DT,O
on,JJ,O
the,NN,O
basis,VBG,O
of,IN,O
the,DT,O
income,NN,O
of,WDT,O
a,VBG,O
tenant,DT,O
from,JJ,O
the,NNS,O
property,TO,O
would,VB,O
be,DT,O
grossly,JJ,O
unfair,NN,O
and,JJ,O
would,NN,O
have,IN,O
the,DT,O
effect,NN,O
of,IN,O
rendering,DT,O
the,NN,O
rate,IN,O
provisions,DT,O
of,NN,O
the,IN,O
act,DT,O
unreasonable,NN,O
arbitrary,MD,O
and,VB,O
unconstitutional,RB,O
the,JJ,O
act,CC,O
itself,MD,O
has,VB,O
taken,DT,O
care,NN,O
by,IN,O
making,VBG,O
sufficient,DT,O
provision,NN,O
in,NNS,O
sections,IN,O
193,DT,O
and,NN,O
194,JJ,O
regarding,JJ,O
the,CC,O
liability,JJ,O
to,DT,O
pay,NN,O
the,PRP,O
rent,VBZ,O
and,VBN,O
apportionment,NN,O
of,IN,O
such,VBG,O
liability,JJ,O
when,NN,O
the,IN,O
premises,NNS,O
are,CD,O
assessed,CC,O
let,CD,O
or,VBG,O
sub,DT,O
let,NN,O
on,TO,O
proof,VB,O
of,DT,O
creation,NN,O
of,CC,O
sub,NN,O
tenancy,IN,O
the,JJ,O
owner,NN,O
of,WRB,O
the,DT,O
building,NNS,O
may,VBP,O
also,JJ,O
be,NN,O
entitled,CC,O
to,VB,O
seek,NN,O
eviction,IN,O
of,NN,O
their,IN,O
tenants,NN,O
under,IN,O
the,JJ,O
relevant,NN,O
provisions,DT,O
of,NN,O
the,IN,O
rent,DT,O
acts,NN,O
applicable,MD,O
in,RB,O
the,VB,O
state,VBN,O
where,TO,O
the,VB,O
land,NN,O
or,IN,O
property,PRP$,O
is,NNS,O
located,IN,O
we,DT,O
find,JJ,O
some,NNS,O
substance,IN,O
in,DT,O
the,NN,O
submission,VBZ,O
of,JJ,O
the,IN,O
learned,DT,O
counsel,NN,O
for,WRB,O
the,DT,O
appellant,NN,O
that,CC,O
permitting,NN,O
the,VBZ,O
municipal,VBN,B-LEGAL
authorities,PRP,I-LEGAL
to,VBP,O
assess,DT,O
the,NN,O
annual,IN,B-LEGAL
value,DT,I-LEGAL
only,NN,O
on,IN,O
the,DT,O
basis,JJ,O
of,NN,O
the,IN,O
rent,DT,O
paid,NN,O
by,WDT,O
the,VBG,O
sub,DT,O
tenant,JJ,O
to,NNS,O
the,TO,O
tenant,VB,O
and,DT,O
fixing,JJ,O
its,NN,O
liability,RB,O
on,IN,O
the,DT,O
owner,NN,O
may,IN,O
adversely,DT,O
affect,NN,O
the,VBN,O
owners,IN,O
of,DT,O
the,NN,O
buildings,NN,O
who,TO,O
have,DT,O
let,NN,O
their,CC,O
premises,VBG,O
at,PRP$,O
a,NN,O
time,IN,O
when,DT,O
rents,NN,O
were,MD,O
meagre,RB,O
and,VB,O
who,DT,O
under,NNS,O
the,IN,O
rent,DT,O
control,NNS,O
statutes,WP,O
are,VBP,O
deprived,VBN,O
of,PRP$,O
getting,NNS,O
possession,IN,O
back,DT,O
of,NN,O
the,WRB,O
lands,NNS,O
and,VBD,O
buildings,NNS,O
from,CC,O
their,WP,O
tenants,IN,O
the,DT,O
1980,NN,O
act,NN,O
therefore,NNS,O
requires,VBP,O
the,VBN,O
application,IN,O
of,VBG,O
mind,NN,O
by,RB,O
the,IN,O
municipal,DT,B-LEGAL
authorities,NNS,I-LEGAL
to,CC,O
determine,NNS,O
the,IN,O
rent,PRP$,O
son,NNS,O
the,DT,O
basis,CD,O
of,NN,O
the,NN,O
reasonableness,VBZ,O
by,DT,O
keeping,NN,O
into,IN,O
account,NN,O
all,IN,O
relevant,DT,O
circumstances,JJ,O
including,NNS,O
the,TO,O
actual,VB,O
rent,DT,O
received,NN,O
by,NN,O
the,DT,O
owner,NN,O
hypothetical,IN,O
standard,DT,B-LEGAL
rent,NN,I-LEGAL
the,IN,O
rent,VBG,O
being,IN,O
received,NN,O
by,DT,O
the,JJ,O
tenant,NNS,O
from,VBG,O
his,DT,O
sub,JJ,O
tenant,NN,O
and,VBN,O
other,IN,O
relevant,DT,O
consideration,NN,O
such,JJ,O
as,NN,O
prevalent,VBD,O
rate,DT,O
of,NN,O
rent,VBG,O
of,VBN,O
lands,IN,O
and,DT,O
building,NN,O
in,IN,O
the,PRP$,O
vicinity,NN,O
of,NN,O
the,CC,O
property,JJ,O
being,JJ,O
assessed,NN,O
only,JJ,O
because,IN,O
the,JJ,O
owner,NN,O
of,IN,O
the,NN,O
building,IN,O
is,NNS,O
not,CC,O
getting,NN,O
the,IN,O
same,DT,O
rent,NN,O
which,IN,O
the,DT,O
sub,NN,O
tenant,VBG,O
is,VBN,O
paying,RB,O
to,IN,O
his,DT,O
lessor,NN,O
cannot,IN,O
be,DT,O
made,NN,O
a,VBZ,O
basis,RB,O
to,VBG,O
deprive,DT,O
the,JJ,O
corporations,NN,O
from,WDT,O
determining,DT,O
the,NN,O
annual,NN,O
valuation,VBZ,O
and,VBG,O
taxing,TO,O
the,PRP$,O
land,NN,O
or,MD,O
building,RB,O
on,VB,O
that,VBN,O
basis,DT,O
if,NN,O
such,TO,O
a,VB,O
plea,DT,O
is,NNS,O
accepted,IN,O
it,VBG,O
would,DT,O
be,JJ,O
against,NN,O
he,CC,O
provisions,VBG,O
of,DT,O
the,NN,O
state,CC,O
which,NN,O
has,IN,O
been,DT,O
enacted,NN,O
to,IN,O
provide,PDT,O
civic,DT,O
services,NN,O
in,VBZ,O
the,VBN,O
form,PRP,O
of,MD,O
water,VB,O
drainage,IN,O
sewage,PRP,B-LEGAL
collection,NNS,O
removal,IN,O
and,DT,O
disposal,NN,O
of,WDT,O
solid,VBZ,O
waste,VBN,O
fire,VBN,O
prevention,TO,O
and,VB,O
fire,NN,O
safety,NNS,O
maintenance,IN,O
of,DT,O
street,NN,O
and,IN,O
public,NN,O
places,NN,O
etc,NN,O
in,NN,O
the,NN,O
municipal,CC,B-LEGAL
area,NN,I-LEGAL
when,IN,O
such,JJ,O
land,NN,O
or,NN,O
building,NN,O
is,CC,O
situate,NN,O
29,NN,O
we,NN,O
do,IN,O
not,NN,O
find,CC,O
any,JJ,O
conflict,NNS,O
in,VBP,O
the,IN,O
judgments,DT,O
of,JJ,O
this,NN,O
court,WRB,O
so,JJ,O
far,NN,O
as,CC,O
the,NN,O
determination,VBZ,O
of,JJ,O
annual,CD,B-LEGAL
value,PRP,I-LEGAL
of,VBP,O
the,RB,O
property,VB,O
under,DT,O
the,NN,O
municipal,IN,O
laws,DT,O
is,NNS,O
concerned,IN,O
distinction,DT,O
if,NN,O
any,RB,O
is,RB,O
based,IN,O
upon,DT,O
the,NN,O
relevant,IN,O
provision,JJ,O
of,NN,O
the,IN,O
state,DT,O
of,NN,O
a,IN,O
state,DT,O
with,JJ,O
which,NNS,O
this,VBZ,O
court,VBN,O
was,NN,O
dealing,IN,O
particularly,DT,O
with,VBZ,O
respect,VBN,O
to,IN,O
such,DT,O
statutes,JJ,O
which,NN,O
contained,IN,O
a,DT,O
non,NN,O
obstante,IN,O
clause,DT,O
we,NN,O
are,IN,O
of,WDT,O
the,DT,O
view,NN,O
that,VBD,O
the,VBG,O
basis,RB,O
for,IN,O
determination,NN,O
of,TO,O
annual,JJ,B-LEGAL
rent,NNS,I-LEGAL
value,WDT,O
has,VBD,O
to,DT,O
be,JJ,O
the,NN,O
standard,NN,B-LEGAL
rent,PRP,I-LEGAL
where,VBP,O
the,IN,O
rent,DT,O
control,NN,O
act,IN,O
is,DT,O
applicable,NN,O
and,IN,O
in,NN,O
all,IN,O
other,JJ,O
cases,NN,O
reasonable,NN,O
determination,VBZ,O
of,TO,O
such,VB,O
rent,DT,O
by,JJ,O
the,NN,O
municipal,WRB,B-LEGAL
authorities,DT,I-LEGAL
keeping,NN,O
in,NN,O
view,NN,O
various,VBZ,O
factors,JJ,O
as,CC,O
indicated,IN,O
herein,DT,O
earlier,JJ,O
including,NNS,O
the,JJ,O
rent,NN,O
which,IN,O
the,JJ,O
tenant,NN,O
is,IN,O
getting,DT,O
from,JJ,O
his,NNS,O
sub,VBG,O
tenant,IN,O
in,NN,O
appropriate,JJ,O
cases,NNS,O
the,IN,O
owner,JJ,O
of,NN,O
the,RBR,O
property,VBG,O
may,DT,O
be,NN,O
in,WDT,O
a,DT,O
position,NN,O
to,VBZ,O
satisfy,VBG,O
the,IN,O
authorities,PRP$,O
that,NN,O
the,NN,O
gross,IN,B-LEGAL
annual,JJ,I-LEGAL
rent,NNS,I-LEGAL
of,DT,O
the,NN,O
building,IN,O
of,DT,O
which,NN,O
the,MD,O
annual,VB,O
valuation,IN,O
was,DT,O
being,NN,O
determined,TO,O
cannot,VB,O
be,DT,O
more,NNS,O
than,IN,O
the,DT,O
actual,JJ,O
rent,JJ,O
received,NN,O
by,IN,O
such,DT,O
owner,NN,O
from,IN,O
his,WDT,O
tenant,DT,O
the,JJ,O
municipal,NN,B-LEGAL
authorities,VBD,I-LEGAL
shall,VBG,O
keep,VBN,O
in,MD,O
mind,RB,O
the,VB,O
various,JJR,O
pronouncements,IN,O
of,DT,O
this,JJ,O
court,NN,O
the,VBN,O
statutory,IN,O
provisions,JJ,O
made,NN,O
in,IN,O
the,PRP$,O
specified,NN,O
municipal,DT,O
acts,JJ,O
keeping,NNS,O
in,MD,O
mind,VB,O
the,IN,O
applicability,NN,O
or,DT,O
non,JJ,O
applicability,NNS,O
of,IN,O
the,DT,O
rent,NN,O
act,DT,O
and,JJ,O
the,NNS,O
peculiar,VBN,O
circumstances,IN,O
of,DT,O
each,JJ,O
case,JJ,O
to,NNS,O
find,VBG,O
out,IN,O
the,NN,O
gross,DT,B-LEGAL
annual,NN,I-LEGAL
rent,CC,I-LEGAL
of,JJ,O
the,NN,O
building,IN,O
including,DT,O
service,NN,O
charges,NN,O
if,CC,O
any,DT,O
at,JJ,O
which,NNS,O
such,IN,O
land,DT,O
or,NN,O
building,TO,O
might,VB,O
at,RP,O
the,DT,O
time,JJ,O
of,JJ,O
assessment,NN,B-LEGAL
be,IN,O
reasonably,DT,O
expected,NN,O
to,VBG,O
let,NN,O
from,NNS,O
year,IN,O
to,DT,O
year,IN,O
in,WDT,O
terms,JJ,O
of,NN,O
section,CC,O
174,NN,O
of,MD,O
the,IN,O
1980,DT,O
act,NN,O
30,IN,O
keeping,NN,O
in,VB,O
view,RB,O
the,VBN,O
facts,TO,O
of,VB,O
the,IN,O
present,NN,O
appeal,TO,O
we,NN,O
are,IN,O
of,NNS,O
the,IN,O
opinion,NN,O
that,CD,O
the,IN,O
high,DT,O
court,CD,O
was,NN,O
right,CD,O
in,VBG,O
remanding,IN,O
the,NN,O
appeals,DT,O
to,NNS,O
the,IN,O
appellate,DT,O
tribunal,JJ,O
for,NN,O
deciding,PRP,O
on,VBP,O
merits,IN,O
but,DT,O
was,NN,O
not,IN,O
justified,DT,O
to,JJ,O
restrict,NN,O
the,VBD,O
consideration,RB,O
only,IN,O
on,VBG,O
the,DT,O
basis,NNS,O
of,TO,O
rent,DT,O
being,JJ,O
paid,NN,O
by,IN,O
the,VBG,O
sub,IN,O
tenant,NNS,O
to,CC,O
the,VBD,O
tenant,RB,O
for,VBN,O
the,TO,O
purposes,VB,O
of,DT,O
determining,NN,O
the,RB,O
gross,IN,O
annual,DT,B-LEGAL
value,NN,I-LEGAL
the,IN,O
appellate,NN,O
tribunal,VBG,O
shall,VBN,O
consider,IN,O
the,DT,O
appeals,NN,O
in,NN,O
the,TO,O
light,DT,O
of,NN,O
our,IN,O
judgment,DT,O
by,NNS,O
keeping,IN,O
in,VBG,O
mind,DT,O
all,JJ,O
the,JJ,O
circumstances,NN,O
including,DT,O
the,JJ,O
rent,JJ,O
actually,MD,O
received,VB,O
by,DT,O
the,NNS,O
owner,IN,O
of,DT,O
the,NN,O
building,IN,O
and,PRP$,O
the,NN,O
rent,IN,O
being,VBG,O
paid,IN,O
to,NN,O
the,PDT,O
tenant,DT,O
by,NNS,O
his,VBG,O
sub,DT,O
tenant,NN,O
the,RB,O
appellate,VBN,O
tribunal,IN,O
shall,DT,O
also,NN,O
keep,IN,O
in,DT,O
mind,NN,O
the,CC,O
peculiar,DT,O
circumstances,NN,O
of,VBG,O
the,VBN,O
case,TO,O
if,DT,O
any,NN,O
for,IN,O
determining,PRP$,O
the,NN,O
gross,VBP,B-LEGAL
annual,DT,I-LEGAL
rent,JJ,I-LEGAL
at,JJ,O
which,MD,O
the,RB,O
building,VB,O
in,IN,O
controversy,NN,O
at,DT,O
the,JJ,O
time,NNS,O
of,IN,O
assessment,DT,B-LEGAL
is,NN,O
reasonably,IN,O
expected,DT,O
to,IN,O
let,VBG,O
from,DT,O
year,JJ,O
to,JJ,O
year,NN,O
leas,IN,O
the,WDT,O
allowances,DT,O
and,NN,O
other,IN,O
considerations,NN,O
referred,IN,O
to,DT,O
in,NN,O
section,IN,O
174,NN,O
of,VBZ,O
the,RB,O
1980,VBN,O
act,TO,O
if,VB,O
the,IN,O
annual,NN,O
valuation,TO,O
determined,NN,O
is,RB,O
more,DT,O
than,NNS,O
the,CC,O
