ruma,NN,O 
list,VBP,I-LEGAL
is,IN,O
subject,NN,O
to,IN,O
entries,NN,O
7,IN,O
and,DT,O
52,NN,O
of,NN,O
list,NNS,O
i,CD,O
we,CD,O
are,CD,O
not,CC,O
concerned,CD,O
in,NN,O
these,CD,O
matter,IN,O
with,DT,O
entry,NN,O
7,NN,O
the,VBZ,O
question,JJ,O
here,TO,O
is,NNS,O
as,CD,O
to,CC,O
the,CD,O
effect,IN,O
of,NN,O
transfer,NN,O
of,PRP,O
field,VBP,O
of,RB,O
legislation,VBN,B-LEGAL
under,IN,O
entry,DT,O
24,NN,O
of,IN,O
the,NN,O
state,CD,B-LEGAL
list,DT,I-LEGAL
to,NN,O
the,RB,O
union,VBZ,B-LEGAL
list,IN,I-LEGAL
entry,TO,O
52,DT,O
on,NN,O
other,IN,O
fields,NN,O
in,IN,O
the,NN,O
state,IN,B-LEGAL
list,NN,I-LEGAL
namely,IN,O
fields,NN,O
of,CD,O
legislation,IN,B-LEGAL
under,DT,O
entries,NN,O
14,NN,O
27,TO,O
28,DT,O
and,NN,O
66,NN,O
and,NN,O
what,CD,O
is,IN,O
fact,JJ,O
can,NNS,O
be,IN,O
transferred,DT,O
92,NN,O
baijnath,NN,O
kadio,RB,O
was,NNS,O
a,IN,O
case,NN,O
which,IN,O
considered,NNS,O
the,CD,O
validity,CD,O
of,CD,O
the,CC,O
state,CD,O
legislation,CC,B-LEGAL
on,WP,O
the,VBZ,O
ground,NN,O
of,MD,O
being,VB,O
beyond,VBN,O
the,CD,O
state,NN,O
legislative,NN,B-LEGAL
power,VBD,I-LEGAL
n,DT,O
view,NN,O
of,WDT,O
the,VBD,O
declaration,DT,O
by,NN,O
the,IN,O
parliament,DT,B-LEGAL
in,NN,O
mines,NN,O
and,IN,O
minerals,DT,O
regulation,NN,B-LEGAL
and,IN,O
development,VBG,O
act,IN,O
1957,DT,O
and,NN,O
contemplated,JJ,O
by,NN,O
entry,JJ,O
54,NN,O
of,IN,O
list,DT,O
i,NN,O
of,IN,O
the,DT,O
seventh,NN,B-LEGAL
schedule,IN,I-LEGAL
to,NNS,O
the,CC,O
constitution,NNS,O
section,NN,O
2,CC,O
of,NN,O
the,NN,O
central,CD,O
legislation,CC,B-LEGAL
declared,VBN,O
that,IN,O
it,NN,O
is,CD,O
expedient,IN,O
in,NN,O
the,NN,O
public,IN,O
interest,DT,O
that,JJ,O
the,NN,O
union,TO,O
should,DT,O
take,NN,O
under,NN,O
its,CD,O
control,IN,O
the,DT,O
regulation,JJ,B-LEGAL
of,NN,O
mines,VBD,O
and,IN,O
the,PRP,O
development,VBZ,O
of,JJ,O
minerals,IN,O
to,DT,O
the,JJ,O
extent,NN,O
provided,IN,O
therein,DT,O
93,NN,O
entry,MD,O
54,VB,O
of,IN,O
the,PRP$,O
union,NN,B-LEGAL
list,DT,I-LEGAL
speaks,NN,O
both,IN,O
of,NNS,O
regulation,CC,B-LEGAL
of,DT,O
mines,NN,O
and,IN,O
minerals,NNS,O
development,TO,O
and,DT,O
entry,NN,O
23,VBD,O
of,RB,O
the,CD,O
state,NN,B-LEGAL
list,CD,I-LEGAL
is,IN,O
subject,DT,O
to,NN,O
entry,NN,O
54,VBZ,O
it,DT,O
was,IN,O
held,NN,O
that,IN,O
it,NNS,O
was,CC,O
open,NNS,O
to,NN,O
the,CC,O
parliament,NN,B-LEGAL
to,CD,O
declare,IN,O
that,DT,O
it,NN,O
is,NN,O
expedient,VBZ,O
in,JJ,O
the,TO,O
public,VB,O
interest,CD,O
that,PRP,O
the,VBD,O
control,VBN,O
should,IN,O
rest,PRP,O
with,VBD,O
the,JJ,O
central,TO,O
government,DT,O
to,NN,O
what,TO,O
extent,VB,O
such,IN,O
a,PRP,O
declaration,VBZ,O
can,JJ,O
go,IN,O
is,DT,O
for,JJ,O
the,NN,O
parliament,IN,B-LEGAL
to,DT,O
determine,NN,O
and,MD,O
this,VB,O
must,IN,O
be,DT,O
commensurate,JJ,O
with,NN,O
public,TO,O
interest,WP,O
once,NN,O
this,PDT,O
declaration,DT,O
is,NN,O
made,MD,O
and,VB,O
that,VBZ,O
extent,IN,O
laid,DT,O
down,NN,O
the,TO,O
subject,VB,O
of,CC,O
legislation,DT,B-LEGAL
to,MD,O
the,VB,O
extent,JJ,O
laid,IN,O
down,JJ,O
becomes,NN,O
an,RB,O
exclusive,DT,O
subject,NN,O
for,VBZ,O
the,VBN,O
legislation,CC,B-LEGAL
by,DT,O
the,NN,O
parliament,VBD,B-LEGAL
any,RB,O
legislation,DT,B-LEGAL
by,NN,O
the,IN,O
state,NN,O
after,TO,O
such,DT,O
declaration,NN,O
trenching,VBD,O
upon,RB,O
the,RB,O
field,DT,O
disclosed,JJ,O
in,NN,O
the,IN,O
declaration,DT,O
must,NN,O
necessarily,IN,O
be,DT,O
unconstitutional,NN,O
because,DT,O
that,NN,O
field,IN,O
is,DT,O
abstracted,NN,O
from,IN,O
the,JJ,O
legislative,NN,B-LEGAL
competence,VBG,I-LEGAL
of,IN,O
the,DT,O
state,NN,B-LEGAL
legislature,VBD,I-LEGAL
for,IN,O
its,DT,O
view,NN,O
the,MD,O
constitution,RB,O
bench,VB,O
followed,JJ,O
earlier,IN,O
constitution,DT,O
bench,NN,O
decisions,VBZ,O
in,VBN,O
the,IN,O
cases,DT,O
of,JJ,O
hingir,NN,O
and,IN,O
tulloch,DT,O
these,NN,O
two,NN,O
cases,IN,O
also,PRP$,O
dealt,NN,O
with,DT,O
the,NN,O
scope,NN,O
of,VBD,O
entry,JJR,O
54,NN,O
of,NN,O
list,NNS,O
i,IN,O
viz,DT,O
a,NNS,O
viz,IN,O
entry,NN,O
23,CC,O
of,VB,O
list,DT,O
ii,CD,O
the,NNS,O
majority,RB,O
opinion,VBP,O
in,IN,O
itc,DT,O
as,NN,O
already,IN,O
noticed,NN,O
followed,CD,O
baijnath,IN,O
kadio,NN,O
and,NN,O
extracted,VBP,O
in,DT,O
its,JJ,O
judgment,NN,O
the,CD,O
passage,IN,O
as,NN,O
aforesaid,VBP,O
94,DT,O
a,NN,O
significant,NN,O
aspect,IN,O
to,NN,O
take,IN,O
note,RB,O
of,VBN,O
is,VBN,O
that,NN,O
tika,NN,O
ramji,CC,O
s,VBN,O
case,IN,O
has,PRP$,O
not,NN,O
been,DT,O
considered,NN,O
in,IN,O
hingir,JJ,O
s,CD,O
case,DT,O
the,JJ,O
reason,NN,O
for,TO,O
it,VB,O
seems,NN,O
to,IN,O
be,VBZ,O
that,IN,O
one,JJ,O
set,NN,O
of,NN,O
cases,NN,O
consider,VBZ,O
the,RB,O
scope,VBN,O
of,VBN,O
entry,IN,O
54,NN,O
viz,NN,O
a,NN,O
viz,DT,O
entry,NN,O
23,IN,O
and,PRP,O
to,VBZ,O
that,TO,O
category,VB,O
belong,IN,O
the,CD,O
cases,NN,O
of,IN,O
hingir,NNS,O
tulloch,VBP,O
and,DT,O
baijnath,NN,O
kadio,IN,O
the,NN,O
other,CD,O
set,NN,O
of,DT,O
cases,JJ,O
consider,NN,O
the,CD,O
scope,CC,O
of,TO,O
entry,DT,O
52,NN,O
of,IN,O
union,DT,B-LEGAL
list,NNS,I-LEGAL
viz,IN,O
a,NN,O
viz,NN,O
entry,CC,O
24,NN,O
of,VBP,O
the,DT,O
state,JJ,B-LEGAL
list,NN,I-LEGAL
and,IN,O
to,NNS,O
that,VBP,O
category,DT,O
belong,NN,O
the,IN,O
cases,NN,O
of,CD,O
tika,IN,O
ramji,NN,O
and,NN,O
other,IN,O
cases,DT,O
following,JJ,O
tika,NN,O
ramji,CD,O
95,IN,O
relying,DT,O
upon,NN,O
ishwari,NN,O
khetan,CC,O
s,TO,O
case,DT,O
mr,NN,O
shanti,IN,O
bhushan,DT,O
contends,NNS,O
that,IN,O
entry,JJ,O
52,NN,O
has,CC,O
been,JJ,O
equated,NNS,O
with,VBG,O
entry,JJ,O
54,JJ,O
of,CD,O
the,VBG,O
union,IN,B-LEGAL
list,JJ,I-LEGAL
96,NN,O
both,NN,O
sides,NN,O
have,NN,O
relied,NN,O
upon,NN,O
the,VBZ,O
case,IN,O
of,NN,O
ishwari,CD,O
khetan,VBZ,O
let,VBN,O
us,VBN,O
examine,IN,O
that,NN,O
case,CD,O
in,IN,O
ishwari,DT,O
khetan,NN,O
s,NN,O
case,CD,O
the,DT,O
contention,NNS,O
urged,VBP,O
was,VBN,O
that,IN,O
the,DT,O
parliament,NN,B-LEGAL
has,IN,O
made,JJ,O
the,NNS,O
industrial,VB,O
development,PRP,O
and,VB,O
regulation,DT,B-LEGAL
act,NN,O
1951,IN,O
for,JJ,O
short,NN,O
the,NN,O
idr,NN,O
act,DT,O
in,NN,O
entry,VBD,O
52,VBD,O
list,IN,O
i,DT,O
declaring,NN,O
control,VBZ,O
of,VBN,O
sugar,DT,O
industry,JJ,O
and,NN,O
that,CC,O
industry,NN,O
goes,NN,O
out,CD,O
of,IN,O
entry,JJ,O
24,DT,O
of,JJ,O
list,NN,O
ii,IN,O
and,NN,O
therefore,CD,O
state,NN,B-LEGAL
legislature,NN,I-LEGAL
is,VBG,O
denuded,NN,O
of,IN,O
legislative,NN,O
powers,NN,O
in,CC,O
respect,IN,O
of,NN,O
sugar,VBZ,O
industry,IN,O
and,IN,O
impugned,NN,O
legislation,CD,B-LEGAL
was,IN,O
with,NN,O
respect,NN,O
to,CC,O
acquisition,RB,B-LEGAL
of,NN,O
sugar,NN,O
undertaking,VBZ,O
is,VBN,O
sugar,IN,O
industry,JJ,O
the,NNS,O
attorney,IN,B-LEGAL
general,NN,I-LEGAL
and,IN,O
contended,NN,O
that,NN,O
the,CC,O
power,JJ,O
to,NN,O
acquire,VBD,O
property,IN,O
was,NN,O
derived,TO,O
from,NN,O
entry,IN,O
42,NN,O
of,NN,O
list,VBZ,O
iii,JJ,O
ishwari,NN,O
khetan,DT,O
s,NN,O
case,JJ,O
involved,CC,O
the,VBD,O
determination,IN,O
or,DT,O
scope,NN,O
of,TO,O
entry,VB,O
52,NN,O
of,VBD,O
list,VBN,O
i,IN,O
and,NN,O
entry,CD,O
24,IN,O
of,NN,O
list,NN,O
ii,JJ,O
only,NN,O
the,NN,O
scope,NN,O
of,VBD,O
these,DT,O
entries,NN,O
with,CC,O
respect,NN,O
to,IN,O
entries,NN,O
26,CD,O
and,IN,O
27,NN,O
of,NN,O
list,CC,O
ii,NN,O
and,CD,O
entry,IN,O
33,NN,O
of,NN,O
list,RB,O
iii,DT,O
did,NN,O
not,IN,O
fall,DT,O
for,NNS,O
consideration,IN,O
further,NN,O
in,TO,O
paragraphs,NNS,O
7,CD,O
8,CC,O
and,CD,O
11,IN,O
of,NN,O
ishwari,NN,O
khetan,CC,O
s,NN,O
case,CD,O
the,IN,O
constitution,NN,O
bench,NN,O
repeatedly,VBD,O
pointed,RB,O
out,VB,O
that,IN,O
a,NN,O
declaration,RBR,O
in,IN,O
entry,JJ,O
52,CD,O
of,CD,O
list,CC,O
i,CD,O
denudes,IN,O
the,JJ,O
power,NN,O
of,NN,O
state,NN,B-LEGAL
legislature,DT,I-LEGAL
to,NN,O
legislate,NN,O
under,RB,O
entry,VBD,O
24,RP,O
list,IN,O
ii,DT,O
only,NN,O
it,IN,O
was,NN,O
noticed,CD,O
that,IN,O
the,NN,O
sugar,NN,O
was,VBP,O
a,DT,O
declared,NN,O
industry,IN,O
the,NN,O
question,NN,O
posed,TO,O
was,VB,O
that,IN,O
is,NN,O
it,CD,O
however,NN,O
correct,NN,O
to,RB,O
say,PRP,O
that,VBD,O
once,VBN,O
a,IN,O
declaration,DT,O
is,NN,O
made,VBD,O
as,DT,O
envisaged,JJ,O
by,NN,O
entry,DT,O
52,NN,O
list,VBD,O
i,VBD,O
that,DT,O
industry,VBZ,O
as,PRP,O
a,RB,O
whole,VBP,O
is,TO,O
taken,VB,O
out,DT,O
of,RB,O
entry,DT,O
24,NN,O
of,VBZ,O
list,VBN,O
ii,IN,O
the,VBN,O
answer,IN,O
given,NN,O
by,CD,O
the,NN,O
constitutional,NN,O
bench,WDT,O
was,NN,O
that,IN,O
it,DT,O
is,NN,O
not,VBZ,O
correct,VBN,O
to,IN,O
say,IN,O
that,NN,O
once,CD,O
a,IN,O
declaration,NN,O
is,VBP,O
made,DT,O
in,NN,O
respect,VBN,O
of,IN,O
an,DT,O
industry,JJ,O
that,NN,O
industry,VBD,O
as,IN,O
a,PRP,O
whole,VBZ,O
is,RB,O
taken,JJ,O
our,TO,O
of,VB,O
entry,DT,O
24,RB,O
list,DT,O
ii,NN,O
it,VBZ,O
was,VBN,O
said,IN,O
that,NN,O
the,IN,O
industry,DT,O
as,NN,O
a,WDT,O
legislative,NN,O
head,IN,O
is,DT,O
found,NN,O
itself,VBZ,O
placed,VBN,O
in,PRP$,O
entry,IN,O
24,NN,O
of,CD,O
list,NN,O
ii,NN,O
the,PRP,O
state,VBD,B-LEGAL
legislature,VBD,I-LEGAL
can,IN,O
be,DT,O
denied,NN,O
legislative,IN,B-LEGAL
power,DT,I-LEGAL
under,JJ,O
entry,NN,O
24,VBZ,O
to,VBN,O
the,PRP,O
extent,VBN,O
parliament,IN,B-LEGAL
makes,NN,O
declaration,CD,O
under,IN,O
entry,NN,O
52,IN,O
and,DT,O
by,NN,O
such,NN,O
declaration,MD,O
parliament,VB,B-LEGAL
acquired,VBN,O
power,JJ,O
to,NN,O
legislate,IN,O
only,NN,O
in,CD,O
respect,TO,O
of,DT,O
those,NN,O
industries,NN,O
in,VBZ,O
respect,NN,O
of,IN,O
which,NN,O
declaration,CD,O
is,CC,O
made,IN,O
and,JJ,O
to,NN,O
that,NN,O
extent,VBD,O
as,NN,O
manifested,TO,O
by,VB,O
legislation,RB,B-LEGAL
incorporating,IN,O
the,NN,O
declaration,IN,O
and,DT,O
not,NNS,O
more,IN,O
the,NN,O
bench,IN,O
further,WDT,O
said,NN,O
that,VBZ,O
the,VBN,O
legislative,CC,B-LEGAL
power,TO,I-LEGAL
of,DT,O
the,NN,O
state,IN,O
under,VBN,O
entry,IN,O
24,NN,O
list,VBG,O
ii,DT,O
is,NN,O
eroded,CC,O
only,RB,O
to,RBR,O
the,DT,O
extent,NN,O
the,RB,O
control,VBD,O
is,IN,O
assumed,DT,O
by,JJ,O
the,NN,O
union,IN,O
pursuant,DT,O
to,NN,O
the,IN,O
declaration,NN,O
and,CD,O
the,NN,O
state,NN,B-LEGAL
legislature,VBZ,I-LEGAL
which,VBN,O
is,RB,O
otherwise,TO,O
competent,DT,O
to,NN,O
deal,DT,O
with,NN,O
industry,VBZ,O
under,VBN,O
entry,IN,O
24,DT,O
list,NN,O
ii,NN,O
can,TO,O
deal,DT,O
with,NN,O
that,CC,O
industry,DT,O
in,NN,O
exercise,NN,O
of,WDT,O
other,VBZ,O
powers,RB,O
enabling,JJ,O
it,TO,O
to,VB,O
legislate,IN,O
under,NN,O
different,IN,O
heads,NN,O
set,CD,O
out,NN,O
in,NN,O
list,MD,O
ii,VB,O
and,IN,O
list,DT,O
iii,NN,O
and,IN,O
this,NN,O
power,IN,O
cannot,JJ,O
be,NNS,O
denied,VBG,O
to,PRP,O
the,TO,O
state,VB,O
the,IN,O
extent,JJ,O
of,NNS,O
parliamentary,VBD,O
legislation,RP,B-LEGAL
was,IN,O
seen,NN,O
only,NN,O
to,CC,O
determine,NN,O
how,NN,O
much,CC,O
is,DT,O
taken,NN,O
out,MD,O
from,RB,O
entry,VB,O
24,VBN,O
list,TO,O
ii,DT,O
and,NN,O
not,DT,O
for,NN,O
the,IN,O
purposes,JJ,O
of,NN,O
laying,VBD,O
down,VBN,O
any,RB,O
principle,TO,O
that,VB,O
the,WRB,O
parliamentary,JJ,O
legislation,VBZ,B-LEGAL
has,VBN,O
to,RP,O
be,IN,O
seen,NN,O
to,CD,O
determine,NN,O
the,NN,O
extent,CC,O
of,RB,O
control,IN,O
and,DT,O
the,NNS,O
denudation,IN,O
of,VBG,O
the,RP,O
power,DT,B-LEGAL
of,NN,I-LEGAL
the,IN,I-LEGAL
state,DT,I-LEGAL
legislature,JJ,O
to,NN,O
the,VBZ,O
extent,TO,O
the,VB,O
control,VBN,O
is,TO,O
laid,VB,O
down,DT,O
by,NN,O
the,IN,O
parliament,NN,B-LEGAL
further,CC,O
it,DT,O
was,NN,O
held,IN,O
that,DT,O
despite,NN,O
the,IN,O
parliamentary,DT,O
legislation,NN,B-LEGAL
the,NN,O
state,TO,B-LEGAL
legislature,DT,I-LEGAL
can,NN,O
deal,DT,O
with,NN,O
industry,VBZ,O
in,VBN,O
exercise,RB,O
of,IN,O
other,DT,O
powers,NN,O
in,VBD,O
different,PRP,B-LEGAL
entries,VBD,I-LEGAL
in,VBN,O
list,IN,O
ii,IN,O
and,DT,O
list,JJ,O
iii,NN,O
and,DT,O
that,NN,O
power,NN,O
cannot,MD,O
be,VB,O
denied,IN,O
to,NN,O
the,IN,O
state,NN,O
in,IN,O
this,JJ,O
case,NNS,O
the,IN,O
court,JJ,O
was,NNS,O
examining,IN,O
whether,NN,O
the,NN,O
law,CC,O
of,NN,O
acquisition,NN,B-LEGAL
of,CC,O
sugar,DT,O
undertaking,NN,O
was,MD,O
referable,RB,O
to,VB,O
entry,VBN,O
24,TO,O
list,DT,O
ii,NN,O
or,IN,O
entry,DT,O
42,NN,O
list,DT,O
iii,NN,O
it,VBD,O
was,VBG,O
concluded,IN,O
that,DT,O
the,NN,O
acquisition,IN,B-LEGAL
of,NN,O
the,IN,O
property,NN,O
was,NN,O
referable,VBD,O
to,JJ,O
entry,TO,O
42,VB,O
list,CD,O
iii,NN,O
the,NN,O
scope,CC,O
of,NN,O
the,CD,O
industry,NN,O
did,NN,O
not,PRP,O
fall,VBD,O
for,VBN,O
examination,IN,O
in,DT,O
ishwari,NN,O
khetan,IN,O
s,DT,O
case,NN,O
there,VBD,O
is,JJ,O
no,TO,O
discussion,VB,O
on,CD,O
the,NN,O
interpretation,NN,B-LEGAL
of,DT,O
expression,NN,O
industry,IN,O
and,DT,O
that,NN,O
probably,VBD,O
is,RB,O
the,VB,O
reason,IN,O
why,NN,O
tika,IN,O
ramji,JJ,O
s,NN,O
case,NN,O
has,NN,O
not,EX,O
been,VBZ,O
referred,DT,O
to,NN,O
the,IN,O
reliance,DT,O
on,NN,O
baijnath,IN,O
kadio,NN,O
s,NN,O
case,CC,O
in,DT,O
ishwari,RB,O
khetan,VBZ,O
s,DT,O
case,NN,O
was,WRB,O
to,NN,O
show,NN,O
the,NN,O
denudation,NN,O
of,VBZ,O
states,RB,O
power,VBN,O
being,VBN,O
limited,TO,O
to,DT,O
the,NN,O
extent,IN,O
of,NN,O
control,NN,O
while,NN,O
baijnath,NN,O
kadio,IN,O
s,JJ,O
case,NN,O
dealt,NN,O
with,NN,O
entry,VBD,O
23,TO,O
list,VB,O
ii,DT,O
ishwari,NN,O
khetan,IN,O
s,NNS,O
case,NN,O
dealt,VBG,O
with,VBN,O
entry,TO,O
24,DT,O
list,NN,O
ii,IN,O
the,NN,O
subject,IN,O
matter,NN,O
of,NN,O
the,NN,O
other,NN,O
entries,NN,O
was,IN,O
not,NN,O
in,CD,O
issue,NN,O
in,NN,O
this,NN,O
decision,NN,O
the,NN,O
structure,NN,O
in,NN,O
entry,IN,O
54,NN,O
of,CD,O
list,NN,O
i,NN,O
was,DT,O
not,JJ,O
equated,NN,O
with,IN,O
that,DT,O
of,JJ,O
entry,NNS,O
52,VBD,O
list,RB,O
i,IN,O
as,NN,O
contended,IN,O
by,DT,O
mr,NN,O
shanti,DT,O
bhushan,NN,O
this,IN,O
decision,NN,O
does,CD,O
not,IN,O
adopt,NN,O
the,NN,O
mines,VBD,O
and,RB,O
minerals,VBN,O
cases,IN,O
for,DT,O
the,IN,O
purposes,NN,O
of,CD,O
considering,NN,O
the,NN,O
scope,IN,O
of,VBN,O
entry,IN,O
52,NN,O
of,NN,O
list,NN,O
i,DT,O
in,NN,O
our,VBZ,O
view,RB,O
the,VB,O
cases,DT,O
of,NNS,O
mines,CC,O
and,NNS,O
minerals,NNS,O
are,IN,O
not,DT,O
of,NNS,O
much,IN,O
assistance,VBG,O
while,DT,O
examining,NN,O
the,IN,O
scope,NN,O
of,CD,O
entry,IN,O
52,NN,O
of,NN,O
list,IN,O
i,PRP$,O
97,NN,O
in,DT,O
state,NNS,O
of,IN,O
ap,NNS,O
and,CC,O
ors,NNS,O
v,VBP,O
mcdowell,RB,O
co,IN,O
and,JJ,O
ors,NN,O
manu,IN,O
sc,VBG,O
0427,DT,O
1996manu,NN,O
sc,IN,O
0427,NN,O
1996,CD,O
1996,IN,O
3scr721,NN,O
also,NN,O
it,CD,O
was,IN,O
held,NN,O
that,IN,O
the,NN,O
ambit,CC,O
and,NNS,O
scope,VBP,O
of,RB,O
a,NNS,O
constitutional,CC,O
entry,NNS,O
cannot,VBP,O
be,JJ,O
determined,CD,O
with,CD,O
reference,NN,O
to,CD,O
a,CD,O
parliamentary,CD,O
enactment,CD,O
if,RB,O
it,PRP,O
is,VBD,O
otherwise,VBN,O
it,IN,O
would,DT,O
result,NN,O
in,CC,O
the,NN,O
parliament,IN,B-LEGAL
enacting,DT,O
and,JJ,O
or,NN,O
amending,MD,O
an,RB,O
enactment,VB,O
thereby,VBN,O
controlling,IN,O
the,NN,O
ambit,TO,O
and,DT,O
scope,JJ,O
of,NN,O
the,IN,O
constitutional,PRP,O
provision,VBZ,O
that,IN,O
cannot,PRP,O
be,MD,O
the,VB,O
law,IN,O
the,DT,O
power,NN,O
to,NN,O
legislate,CC,O
with,CC,O
which,VBG,O
we,DT,O
are,NN,O
concerned,RB,O
in,VBG,O
contained,DT,O
in,NN,O
article,CC,O
246,NN,O
the,IN,O
fields,DT,O
are,JJ,O
demarcated,NN,O
in,WDT,O
the,MD,O
various,RB,O
entries,VB,O
on,DT,O
reading,NN,O
both,DT,O
it,NN,O
has,TO,O
to,VB,O
be,IN,O
decided,WDT,O
whether,PRP,O
the,VBP,O
concerned,VBN,O
legislature,IN,O
is,VBN,O
competent,IN,O
to,NN,O
legislate,CD,O
when,DT,O
its,NNS,O
validity,VBP,O
is,VBN,O
questioned,IN,O
the,DT,O
ambit,JJ,O
and,NNS,O
scope,IN,O
of,VBG,O
an,DT,O
entry,PRP,O
cannot,VBZ,O
be,TO,O
determined,VB,O
with,VBN,O
reference,IN,O
to,DT,O
a,JJ,O
parliamentary,NN,O
enactment,VBZ,O
98,JJ,O
tika,TO,O
ramji,VB,O
s,WRB,O
case,PRP$,O
is,NN,O
required,VBZ,O
to,VBN,O
be,DT,O
examined,NN,O
in,CC,O
some,NN,O
detail,IN,O
since,DT,O
that,NN,O
has,MD,O
been,RB,O
a,VB,O
bone,VBN,O
of,IN,O
serious,NN,O
and,TO,O
elaborate,DT,O
submissions,JJ,O
in,NN,O
that,CD,O
case,NN,O
the,NN,O
challenge,NN,O
by,NN,O
the,VBZ,O
sugarcane,VBN,O
growers,TO,O
hailing,VB,O
from,VBN,O
several,IN,O
villages,DT,O
of,NN,O
state,IN,O
of,DT,O
up,VBZ,O
was,VBN,O
to,DT,O
the,NN,O
validity,IN,O
of,JJ,O
the,CC,O
up,JJ,O
sugarcane,NNS,O
regulation,IN,B-LEGAL
of,DT,O
supply,NN,O
and,DT,O
purchase,NN,O
act,IN,O
1953,DT,O
and,NN,O
notifications,NNS,O
issued,VBG,O
thereunder,IN,O
a,JJ,O
short,NNS,O
history,IN,O
of,NN,O
legislation,IN,B-LEGAL
enacted,NN,O
by,VBD,O
the,TO,O
center,DT,O
as,NN,O
well,IN,O
as,DT,O
the,RP,O
province,JJ,O
of,NN,O
up,IN,O
in,NN,O
regard,CC,O
to,NN,O
sugar,NN,O
and,CD,O
sugarcane,CC,O
was,NNS,O
noticed,VBN,O
99,VBP,O
it,DT,O
was,JJ,O
noticed,NN,O
that,IN,O
on,NN,O
8th,VBN,O
april,IN,O
1932,DT,O
the,NN,O
central,RB,O
legislature,RB,O
passed,IN,O
the,DT,O
sugarcane,NN,O
industry,IN,O
protection,IN,O
act,IN,O
1932,NN,O
as,TO,O
a,VB,O
result,CC,O
of,NN,O
this,VBD,O
act,VBN,O
there,CD,O
was,PRP,O
a,VBD,O
rapid,VBN,O
rise,IN,O
in,IN,O
number,CD,O
of,NN,O
sugar,CD,O
factories,DT,O
as,JJ,O
also,NN,O
a,VBD,O
large,DT,O
expansion,NN,O
in,NN,O
the,NN,O
cultivation,NN,O
of,CD,O
sugarcane,IN,O
to,DT,O
regulate,NN,O
the,IN,O
price,DT,O
at,NN,O
which,EX,O
sugarcane,VBD,O
intended,DT,O
to,JJ,O
be,NN,O
used,IN,O
in,NN,O
the,IN,O
manufacture,JJ,O
of,NNS,O
sugar,IN,O
might,RB,O
be,DT,O
purchased,JJ,O
by,NN,O
or,IN,O
for,DT,O
the,NN,O
factories,IN,O
the,NN,O
central,TO,O
legislature,VB,O
enacted,DT,O
on,NN,O
1st,IN,O
may,WDT,O
1934,NN,O
the,VBD,O
sugarcane,TO,O
act,VB,O
1934,VBN,O
the,IN,O
fixing,DT,O
of,NN,O
minimum,IN,O
price,NN,O
for,MD,O
the,VB,O
purchase,VBN,O
of,IN,O
sugarcane,CC,O
intended,IN,O
for,DT,O
use,NNS,O
in,DT,O
any,JJ,O
factory,NN,O
in,VBN,O
any,IN,O
controlled,CD,O
area,MD,O
was,CD,O
left,DT,O
to,NN,O
the,NN,O
provincial,CD,O
governments,DT,O
which,NN,O
were,IN,O
empowered,JJ,O
to,NN,O
make,IN,O
rules,DT,O
for,NN,O
the,IN,O
purpose,NN,O
of,VBN,O
carrying,IN,O
into,NN,O
effect,IN,O
the,DT,O
objects,NN,O
of,IN,O
the,DT,O
act,JJ,O
including,NN,O
the,VBD,O
organisation,VBN,O
of,TO,O
growers,DT,O
of,JJ,O
sugarcane,NNS,O
into,WDT,O
co,VBD,O
operative,VBN,O
societies,TO,O
for,VB,O
the,NNS,O
sale,IN,O
of,DT,O
sugarcane,NN,O
to,IN,O
factories,VBG,O
100,IN,O
with,NN,O
the,DT,O
coming,NNS,O
into,IN,O
operation,DT,O
of,NN,O
the,VBG,O
government,DT,O
of,NN,O
india,IN,O
act,NNS,O
1935,IN,O
there,NN,O
was,IN,O
distribution,JJ,B-LEGAL
of,JJ,I-LEGAL
legislative,NNS,I-LEGAL
power,IN,I-LEGAL
between,DT,O
the,NN,O
dominion,IN,O
legislature,NN,O
and,TO,O
the,NNS,O
provincial,CD,O
legislatures,IN,O
and,DT,O
agriculture,VBG,O
entry,IN,O
no,NN,O
20,IN,O
trade,DT,B-LEGAL
and,NN,I-LEGAL
commerce,IN,I-LEGAL
within,NN,O
the,NN,O
province,CD,O
entry,EX,O
no,VBD,O
27,NN,O
and,IN,O
production,JJ,O
supply,NN,O
and,IN,O
distribution,DT,O
of,NN,O
goods,NN,O
development,CC,O
of,DT,O
industries,JJ,O
subject,NNS,B-LEGAL
to,CC,I-LEGAL
the,NN,I-LEGAL
provision,NN,I-LEGAL
in,DT,O
list,CD,O
i,NN,O
with,CC,O
respect,NN,O
to,IN,O
development,DT,O
of,NN,O
certain,NN,O
industries,DT,O
under,CD,O
dominion,CC,O
control,NN,O
entry,NN,O
no,CC,O
29,NN,O
were,IN,O
included,NNS,O
in,NN,O
list,IN,O
ii,NNS,O
namely,VBP,O
the,TO,O
provincial,DT,O
legislative,NN,O
list,IN,O
entry,NN,O
no,NN,O
34,IN,O
in,NN,O
list,TO,O
i,NN,O
was,IN,O
development,JJ,O
of,NNS,O
industries,IN,O
where,NN,O
development,NN,O
under,NN,O
dominion,DT,O
control,CD,O
is,VBD,O
declared,VBN,O
to,IN,O
be,NN,O
in,NN,O
the,RB,O
public,DT,O
interest,JJ,O
101,JJ,O
the,NN,O
result,NN,O
